,vendor,merchant,date,n_lines
0,A,1593,2017-01-02,52
1,A,1593,2017-01-04,54
2,A,1593,2017-01-05,18
3,A,1593,2017-01-06,286
4,A,1593,2017-01-07,400
5,A,1593,2017-01-08,15
6,A,1593,2017-01-09,23
7,A,1593,2017-01-10,139
8,A,1593,2017-01-11,44
9,A,1593,2017-01-12,42
10,A,1593,2017-01-13,294
11,A,1593,2017-01-14,534
12,A,1593,2017-01-15,102
13,A,1593,2017-01-16,47
14,A,1593,2017-01-17,28
15,A,1593,2017-01-18,50
16,A,1593,2017-01-19,84
17,A,1593,2017-01-20,144
18,A,1593,2017-01-21,352
19,A,1593,2017-01-22,52
20,A,1593,2017-01-23,32
21,A,1593,2017-01-24,109
22,A,1593,2017-01-25,51
23,A,1593,2017-01-26,27
24,A,1593,2017-01-27,280
25,A,1593,2017-01-28,411
26,A,1593,2017-01-29,71
27,A,1593,2017-01-30,62
28,A,1593,2017-01-31,13
29,A,1593,2017-02-01,53
30,A,1593,2017-02-02,17
31,A,1593,2017-02-03,176
32,A,1593,2017-02-04,349
33,A,1593,2017-02-05,56
34,A,1593,2017-02-06,48
35,A,1593,2017-02-07,36
36,A,1593,2017-02-08,35
37,A,1593,2017-02-09,43
38,A,1593,2017-02-10,248
39,A,1593,2017-02-11,352
40,A,1593,2017-02-12,89
41,A,1593,2017-02-13,25
42,A,1593,2017-02-14,56
43,A,1593,2017-02-15,48
44,A,1593,2017-02-16,35
45,A,1593,2017-02-17,148
46,A,1593,2017-02-18,309
47,A,1593,2017-02-19,33
48,A,1593,2017-02-20,30
49,A,1593,2017-02-21,103
50,A,1593,2017-02-22,37
51,A,1593,2017-02-23,168
52,A,1593,2017-02-24,189
53,A,1593,2017-02-25,310
54,A,1593,2017-02-26,33
55,A,1593,2017-02-28,134
56,A,1593,2017-03-01,73
57,A,1593,2017-03-02,52
58,A,1593,2017-03-03,171
59,A,1593,2017-03-04,211
60,A,1593,2017-03-05,78
61,A,1593,2017-03-06,76
62,A,1593,2017-03-07,87
63,A,1593,2017-03-08,1
64,A,1593,2017-03-09,46
65,A,1593,2017-03-10,147
66,A,1593,2017-03-11,351
67,A,1593,2017-03-12,122
68,A,1593,2017-03-13,57
